Client ID,Transaction Count,Total Execution Time,Mean Latency,Throughput,Median,95th Percentile,99th Percentile
34,19200,4676.69,242.68,4.11,140.13,858.93,1705.49
29,19200,4713.34,244.60,4.07,142.30,868.27,1759.24
39,19200,4734.85,245.67,4.06,141.15,865.47,1839.14
37,19200,4865.60,252.53,3.95,142.38,904.90,1848.29
36,19200,4872.64,252.89,3.94,146.33,899.63,1853.90
32,19200,4879.24,253.32,3.94,142.72,904.57,1879.03
35,19199,4914.38,254.88,3.91,145.31,897.03,1839.45
31,19200,4940.76,256.43,3.89,145.06,919.54,1875.78
30,19200,4945.01,256.62,3.88,146.35,924.47,1903.56
33,19200,4981.12,258.53,3.85,149.73,913.79,1849.49
38,19199,5111.35,264.94,3.76,150.26,942.49,1924.44
11,19199,6591.91,342.15,2.91,194.78,1224.45,2101.64
12,19199,6629.90,344.11,2.90,192.92,1242.33,2153.71
10,19200,6665.93,346.16,2.88,196.43,1253.47,2139.87
13,19199,6704.97,348.00,2.86,197.94,1239.27,2173.95
28,19200,6774.87,351.87,2.83,198.91,1285.20,2250.34
14,19200,6836.31,355.02,2.81,197.80,1286.62,2207.86
27,19200,7170.66,372.47,2.68,215.90,1331.85,2231.65
1,19199,7219.79,374.92,2.66,211.73,1357.50,2248.26
4,19199,7255.53,376.80,2.65,213.53,1344.67,2214.10
9,19199,7261.15,377.13,2.64,214.29,1335.95,2280.80
19,19199,7256.47,376.77,2.65,214.19,1350.06,2309.14
17,19200,7262.38,377.29,2.64,215.53,1335.74,2245.25
7,19200,7275.68,378.04,2.64,214.31,1366.64,2267.63
24,19200,7258.33,377.12,2.65,214.56,1363.28,2281.58
22,19199,7273.02,377.93,2.64,215.77,1355.90,2245.07
2,19200,7303.56,379.54,2.63,214.54,1360.91,2281.42
20,19200,7307.60,379.69,2.63,214.53,1351.60,2250.78
16,19200,7329.66,380.69,2.62,216.14,1350.45,2259.53
21,19200,7324.41,380.58,2.62,217.21,1332.29,2262.08
25,19199,7322.28,380.10,2.62,218.25,1342.40,2264.18
6,19200,7344.54,381.52,2.61,215.50,1372.83,2255.22
26,19200,7324.57,380.47,2.62,214.73,1361.65,2296.55
0,19200,7360.58,382.44,2.61,212.76,1366.37,2309.58
5,19199,7361.55,382.29,2.61,215.52,1362.62,2229.61
23,19200,7343.96,381.57,2.61,218.64,1374.13,2280.19
15,19199,7354.06,381.83,2.61,215.66,1377.87,2284.38
3,19199,7371.82,382.79,2.60,215.51,1387.31,2272.88
18,19200,7356.35,382.14,2.61,219.02,1370.45,2219.28
8,19199,7372.98,382.81,2.60,214.20,1368.99,2272.93
