Client ID,Transaction Count,Total Execution Time,Mean Latency,Throughput,Median,95th Percentile,99th Percentile
4,18000,2495.16,137.51,7.21,54.43,691.42,1040.10
7,18000,2516.46,138.72,7.15,55.81,705.84,1053.43
2,17999,2531.31,139.51,7.11,55.47,720.73,1071.61
9,18000,2536.33,139.84,7.10,55.49,719.19,1044.79
37,18000,2507.52,138.17,7.18,55.22,698.22,1048.60
14,18000,2532.45,139.58,7.11,55.96,710.88,1057.81
24,18000,2522.20,139.00,7.14,55.74,711.85,1037.22
12,18000,2534.77,139.69,7.10,55.91,710.46,1059.35
22,18000,2530.15,139.36,7.11,55.25,695.63,1064.34
34,18000,2518.44,138.74,7.15,55.04,699.82,1042.53
19,18000,2538.88,139.94,7.09,55.33,709.40,1071.06
17,18000,2546.89,140.34,7.07,56.02,716.65,1058.51
29,18000,2535.05,139.67,7.10,55.66,714.36,1062.41
39,18000,2526.98,139.28,7.12,55.38,702.26,1057.92
32,18000,2534.78,139.70,7.10,55.46,712.69,1068.92
1,18000,2573.84,141.80,6.99,57.11,731.88,1070.37
6,18000,2577.53,142.03,6.98,56.15,732.27,1094.60
27,18000,2560.58,141.11,7.03,56.06,724.70,1052.03
0,18000,2594.12,142.91,6.94,55.97,726.32,1084.33
10,18000,2592.45,142.79,6.94,56.06,720.42,1099.92
11,18000,2593.50,142.92,6.94,56.36,736.62,1078.20
31,18000,2574.33,141.86,6.99,56.28,712.89,1068.05
5,18000,2601.64,143.38,6.92,56.71,729.52,1089.36
36,18000,2580.86,142.21,6.97,56.53,724.80,1068.00
16,18000,2605.91,143.57,6.91,56.52,740.11,1102.32
26,18000,2596.57,143.10,6.93,56.26,739.16,1096.70
20,18000,2603.03,143.38,6.92,56.00,737.73,1107.79
21,18000,2602.86,143.41,6.92,56.65,747.49,1086.09
30,18000,2599.13,143.22,6.93,56.68,728.66,1093.64
35,18000,2593.78,142.88,6.94,56.69,733.41,1087.78
3,18000,2637.27,145.34,6.83,56.87,748.34,1128.60
25,18000,2616.57,144.18,6.88,56.98,735.22,1111.00
15,18000,2632.89,145.14,6.84,56.08,751.53,1124.12
8,18000,2641.84,145.55,6.81,56.65,754.17,1133.01
13,18000,2643.04,145.66,6.81,57.19,742.21,1161.31
18,18000,2641.45,145.58,6.81,56.58,758.23,1147.02
38,18000,2621.60,144.39,6.87,56.43,746.29,1118.86
33,18000,2626.44,144.73,6.85,57.03,741.23,1134.90
28,18000,2635.68,145.24,6.83,55.98,762.24,1134.85
23,18000,2644.30,145.73,6.81,56.66,763.28,1127.49
