Client ID,Transaction Count,Total Execution Time,Mean Latency,Throughput,Median,95th Percentile,99th Percentile
4,18000,2700.69,149.11,6.66,92.95,553.04,822.54
7,18000,2701.87,149.18,6.66,93.86,557.29,830.08
24,18000,2701.91,149.20,6.66,93.20,558.53,821.07
9,18000,2718.35,150.10,6.62,93.36,559.65,838.34
2,18000,2725.78,150.52,6.60,94.24,559.90,833.83
12,18000,2718.46,150.11,6.62,93.50,560.23,838.81
22,18000,2713.35,149.79,6.63,93.85,550.51,866.12
14,18000,2722.32,150.33,6.61,94.21,562.31,841.11
17,18000,2720.10,150.22,6.62,93.77,560.89,843.01
32,18000,2711.63,149.73,6.64,93.36,561.08,830.96
37,18000,2712.01,149.75,6.64,94.29,549.50,837.66
34,18000,2718.24,150.07,6.62,93.69,559.82,841.60
19,18000,2739.32,151.27,6.57,93.97,560.70,852.39
29,18000,2725.90,150.50,6.60,93.26,571.25,834.09
39,18000,2722.66,150.37,6.61,93.65,558.98,846.36
27,18000,2743.59,151.45,6.56,93.52,567.51,851.59
1,18000,2771.89,153.01,6.49,95.42,578.63,858.18
6,18000,2767.45,152.81,6.50,95.05,581.38,855.95
0,18000,2787.58,153.95,6.46,95.33,579.95,878.47
5,18000,2784.27,153.73,6.46,94.78,580.29,863.56
11,18000,2781.07,153.53,6.47,95.27,579.54,857.17
31,18000,2769.20,152.87,6.50,94.98,569.88,864.11
10,18000,2791.43,154.13,6.45,95.47,577.96,864.17
20,18000,2786.27,153.84,6.46,94.83,590.07,886.80
21,18000,2788.09,153.90,6.46,95.26,580.47,869.19
16,18000,2798.69,154.56,6.43,95.48,587.61,869.21
30,18000,2785.56,153.79,6.46,95.82,576.67,869.02
36,18000,2780.79,153.55,6.47,94.58,575.49,880.48
35,18000,2786.84,153.89,6.46,95.13,581.26,867.23
26,18000,2800.43,154.61,6.43,94.83,586.00,886.49
25,18000,2807.26,154.98,6.41,94.39,584.42,904.27
15,18000,2830.22,156.28,6.36,95.81,596.86,907.27
3,18000,2843.71,157.01,6.33,96.22,594.76,913.11
8,18000,2846.02,157.16,6.32,95.23,607.92,922.25
18,18000,2840.71,156.86,6.34,95.12,610.97,924.79
38,18000,2822.72,155.83,6.38,95.09,597.14,905.93
28,18000,2834.32,156.46,6.35,94.96,606.86,904.76
13,18000,2854.12,157.62,6.31,95.18,613.03,931.35
23,18000,2847.13,157.23,6.32,95.06,609.68,919.19
33,18000,2844.62,157.06,6.33,94.43,609.43,918.30
