Client ID,Transaction Count,Total Execution Time,Mean Latency,Throughput,Median,95th Percentile,99th Percentile
24,20000,10286.75,514.26,1.94,44.10,2172.66,8735.01
31,20000,10301.88,515.02,1.94,40.41,2263.88,9321.03
30,20000,10312.48,515.55,1.94,39.72,2356.80,9184.47
25,20000,10318.68,515.85,1.94,52.98,2195.36,8504.12
28,20000,10352.64,517.55,1.93,50.48,2180.27,8183.27
26,20000,10361.17,517.98,1.93,52.74,2239.46,8676.98
27,20000,10366.85,518.26,1.93,51.14,2372.23,8585.44
29,20000,10377.43,518.79,1.93,45.74,2393.27,8922.07
14,20000,14208.80,710.36,1.41,77.64,2514.20,10904.55
9,20000,14231.45,711.49,1.41,82.18,2481.73,11158.23
8,20000,14241.34,711.98,1.40,78.27,2438.50,10936.26
11,20000,14247.24,712.28,1.40,77.69,2491.85,10217.19
12,20000,14246.75,712.25,1.40,79.69,2547.85,11312.26
13,20000,14257.71,712.80,1.40,74.74,2500.96,10863.07
10,20000,14263.89,713.11,1.40,73.78,2530.73,10701.08
23,20000,14282.03,714.00,1.40,72.97,2737.96,10377.83
38,20000,14268.12,713.32,1.40,54.67,2351.64,11271.18
15,20000,14291.13,714.48,1.40,55.98,2612.49,11136.83
37,20000,14276.86,713.75,1.40,68.41,2838.78,12866.54
22,20000,14293.41,714.56,1.40,89.82,2664.91,10870.72
39,20000,14277.21,713.77,1.40,79.33,2730.21,12904.99
34,20000,14283.56,714.09,1.40,46.07,2841.22,12840.78
33,20000,14314.32,715.63,1.40,58.37,2783.58,11990.56
35,20000,14320.54,715.94,1.40,52.47,2829.34,12415.83
4,20000,14352.67,717.55,1.39,65.52,2774.09,11584.44
32,20000,14336.10,716.71,1.40,52.27,2762.66,11534.52
20,20000,14350.14,717.42,1.39,38.21,2807.88,10801.63
16,20000,14355.18,717.62,1.39,39.46,2873.81,11011.14
36,20000,14345.61,717.19,1.39,53.01,2702.42,12176.63
19,20000,14365.16,718.16,1.39,40.99,2933.84,11155.63
18,20000,14366.63,718.24,1.39,40.31,2902.52,11109.83
1,20000,14394.17,719.62,1.39,69.65,2786.81,11404.35
7,20000,14392.05,719.51,1.39,68.78,2832.03,12126.54
5,20000,14398.03,719.82,1.39,62.68,2808.41,12904.13
6,20000,14403.82,720.10,1.39,61.53,2720.31,11881.22
3,20000,14407.48,720.27,1.39,65.99,2796.29,12117.21
0,20000,14416.62,720.74,1.39,63.80,2804.67,11094.60
2,20000,14417.53,720.78,1.39,59.76,2781.73,12651.60
17,20000,14414.76,720.64,1.39,43.02,2952.25,11353.71
21,20000,14419.05,720.86,1.39,41.07,2940.08,11534.00
