Client ID,Transaction Count,Total Execution Time,Mean Latency,Throughput,Median,95th Percentile,99th Percentile
37,20000,11049.70,552.40,1.81,329.86,1990.18,4005.56
25,20000,11317.47,565.78,1.77,329.98,1783.17,3884.52
12,20000,11538.09,576.81,1.73,333.90,2150.21,4273.79
10,20000,11653.08,582.45,1.72,332.79,1984.80,3941.26
39,20000,12069.32,603.37,1.66,334.51,1868.84,3590.42
13,20000,12135.60,606.68,1.65,327.18,2007.15,3982.53
11,20000,12226.61,611.25,1.64,326.48,2121.82,4524.74
38,20000,12329.27,616.38,1.62,328.47,2031.39,4211.17
27,20000,12619.04,630.70,1.58,333.42,2367.26,5039.86
22,20000,13079.65,653.89,1.53,332.81,2444.64,5423.54
26,20000,13182.24,659.03,1.52,322.65,2331.24,5139.63
23,20000,13639.67,681.90,1.47,324.73,2387.83,4846.53
24,20000,13937.20,696.76,1.44,322.56,2439.90,5029.08
15,20000,20480.29,1023.92,0.98,294.72,4650.37,11718.12
20,20000,20595.72,1029.69,0.97,299.52,4653.09,11190.91
21,20000,21091.89,1054.50,0.95,257.77,5308.00,15448.48
28,20000,21361.43,1067.85,0.94,324.53,3933.15,14117.46
30,20000,21521.76,1075.98,0.93,293.88,5076.15,12276.16
14,20000,21710.24,1085.41,0.92,310.09,4436.02,15121.43
35,20000,21742.57,1087.03,0.92,292.63,5057.50,11939.08
5,20000,23624.31,1181.12,0.85,279.08,5757.30,14548.67
0,20000,23736.80,1186.74,0.84,279.12,5785.64,14034.60
17,20000,24141.79,1206.97,0.83,275.91,5878.72,15809.98
16,20000,24273.19,1213.56,0.82,259.23,6088.40,16102.36
18,20000,24945.31,1247.17,0.80,253.75,6031.47,16786.10
19,20000,25305.17,1265.14,0.79,244.79,6075.83,17334.11
32,20000,26305.20,1315.16,0.76,279.71,6713.39,17167.93
36,20000,26792.05,1339.51,0.75,255.79,6748.68,17811.06
31,20000,26904.46,1345.05,0.74,247.10,6591.31,18061.56
33,20000,27578.64,1378.84,0.73,243.64,6747.90,19205.57
29,20000,27954.38,1397.60,0.72,236.88,7196.03,20260.01
34,20000,28091.32,1404.45,0.71,220.51,7140.26,19355.02
6,20000,30218.50,1510.84,0.66,219.06,7726.08,21636.35
2,20000,30318.22,1515.81,0.66,241.35,7506.74,22998.10
7,20000,30443.64,1522.08,0.66,240.85,7789.75,21278.05
1,20000,30564.47,1528.13,0.65,213.91,7962.68,21441.13
8,20000,31231.03,1561.43,0.64,206.83,8246.61,22849.39
3,20000,31312.80,1565.54,0.64,214.34,7981.69,23721.06
9,20000,31612.85,1580.54,0.63,193.34,8235.88,24743.17
4,20000,31639.37,1581.81,0.63,191.99,8136.60,24813.69
