Client ID,Transaction Count,Total Execution Time,Mean Latency,Throughput,Median,95th Percentile,99th Percentile
2,20000,11052.29,552.56,1.81,10.53,1243.60,12722.68
32,20000,11289.12,564.41,1.77,10.66,1329.31,13408.05
12,20000,11390.79,569.49,1.76,10.41,1334.56,12666.10
27,20000,11416.95,570.79,1.75,10.67,1316.62,13021.18
7,20000,11649.16,582.40,1.72,10.50,1304.66,13464.79
37,20000,11634.30,581.66,1.72,10.52,1426.93,13841.65
22,20000,11705.95,585.24,1.71,10.66,1502.03,14196.64
17,20000,11737.63,586.82,1.70,10.47,1287.33,13687.91
1,20000,14149.30,707.40,1.41,10.74,1230.58,19121.14
6,20000,14156.75,707.79,1.41,10.49,1415.08,19477.13
16,20000,14177.45,708.82,1.41,10.67,1351.53,19059.21
26,20000,14190.04,709.45,1.41,11.16,1454.61,19156.75
21,20000,14403.70,720.13,1.39,10.74,1471.51,19235.28
31,20000,14396.46,719.76,1.39,10.77,1131.97,20095.51
36,20000,14556.78,727.78,1.37,10.72,1335.17,20095.86
11,20000,14669.59,733.42,1.36,10.47,1392.95,18851.06
35,20000,17000.97,849.99,1.18,11.05,1170.05,22047.51
15,20000,17134.55,856.67,1.17,11.88,1146.95,22159.07
5,20000,17177.90,858.82,1.16,11.55,1267.96,21796.45
10,20000,17314.50,865.67,1.16,12.29,1201.47,21595.39
0,20000,17351.00,867.33,1.15,12.87,1246.70,23115.62
20,20000,17390.90,869.13,1.15,12.53,1286.70,23813.97
30,20000,17465.97,873.04,1.15,12.62,1271.72,23867.24
25,20000,17578.70,878.87,1.14,12.51,1279.79,21818.87
28,20000,18994.20,949.63,1.05,15.62,755.42,14312.66
3,20000,19151.79,957.51,1.04,16.17,768.33,13031.19
18,20000,19150.67,957.45,1.04,15.13,743.53,13513.47
13,20000,19163.70,958.10,1.04,15.77,745.93,14701.94
38,20000,19158.96,957.83,1.04,15.27,678.45,14255.89
8,20000,19212.43,960.23,1.04,15.08,762.85,14311.54
33,20000,19200.66,959.97,1.04,15.90,738.99,14151.46
23,20000,19224.67,960.77,1.04,15.20,796.55,15628.02
