Client ID,Transaction Count,Total Execution Time,Mean Latency,Throughput,Median,95th Percentile,99th Percentile
0,200,18.15,80.38,11.02,49.92,242.67,370.75
1,200,18.88,84.06,10.59,46.22,291.90,414.03
3,200,18.24,80.80,10.97,50.88,223.40,464.18
5,200,16.84,73.80,11.88,45.30,256.51,415.14
2,200,20.43,91.57,9.79,47.73,295.70,649.72
6,200,16.17,70.46,12.37,49.53,202.60,402.91
4,200,18.55,82.18,10.78,50.57,286.38,489.00
7,200,15.01,64.56,13.33,43.41,197.03,312.76
7,200,12.77,43.28,15.66,22.56,147.98,214.10
7,200,10.22,40.64,19.56,22.87,133.43,171.95
7,200,9.80,38.45,20.40,23.91,123.86,143.52
7,200,10.34,41.22,19.34,23.13,122.95,182.56
7,200,10.38,41.37,19.26,22.76,127.80,174.18
7,200,10.27,40.81,19.48,22.37,127.00,171.10
7,200,10.64,42.68,18.80,25.72,132.92,164.82
7,200,9.86,38.82,20.28,22.61,126.02,170.88
7,200,9.93,39.19,20.13,23.81,121.71,154.92
7,200,10.57,42.29,18.92,26.14,138.52,171.20
7,2,2.18,48.54,0.92,48.54,87.86,87.86
7,2,2.14,31.47,0.93,31.47,58.59,58.59
7,2,2.14,30.54,0.93,30.54,56.90,56.90
7,2,2.15,32.09,0.93,32.09,59.79,59.79
7,2,2.14,33.63,0.94,33.63,62.14,62.14
7,2,3.73,32.04,0.54,32.04,60.15,60.15
7,2,3.73,36.25,0.54,36.25,66.50,66.50
7,2,4.43,33.92,0.45,33.92,63.37,63.37
7,2,4.50,35.08,0.44,35.08,65.39,65.39
7,2,4.53,51.76,0.44,51.76,94.98,94.98
7,2,4.43,33.21,0.45,33.21,61.22,61.22
7,2,4.42,31.17,0.45,31.17,58.14,58.14
7,2,4.57,31.55,0.44,31.55,58.73,58.73
7,2,6.45,31.91,0.31,31.91,59.83,59.83
7,2,4.32,74.92,0.46,74.92,139.71,139.71
7,2,4.36,94.83,0.46,94.83,175.09,175.09
7,2,9.98,50.37,0.20,50.37,89.09,89.09
7,2,14.72,45.88,0.14,45.88,83.76,83.76
7,2,17.30,63.62,0.12,63.62,111.67,111.67
7,2,16.56,44.87,0.12,44.87,82.31,82.31
7,2,22.82,45.43,0.09,45.43,83.59,83.59
7,2,21.54,44.94,0.09,44.94,80.81,80.81
7,2,21.70,41.07,0.09,41.07,75.58,75.58
7,1000,69.55,46.92,14.38,23.53,149.77,227.24
8,2000,110.01,43.77,18.18,21.36,150.28,217.27
